"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Travis Homer","SEA","TEN","RB","4000","1.5","-9.5","0.0","19184232","5.1"
"Keith Smith","ATL","TB","RB","4000","1.1","-9.9","0.0","19184262","2.6"
"Chuba Hubbard","CAR","NO","RB","4500","2.1","-9.9","0.0","19184172","4.7"
"Sony Michel","LA","IND","RB","5000","2.9","-10.0","0.0","19184144","6.6"
"C.J. Ham","MIN","ARI","RB","4000","1.0","-10.0","0.0","19184284","3.3"
"Kalen Ballage","PIT","LV","RB","4000","0.8","-10.1","0.0","19184312","4.4"
"Khari Blasingame","TEN","SEA","RB","4000","0.7","-10.3","0.0","19184248","2.5"
"D'Ernest Johnson","CLE","HOU","RB","4000","0.5","-10.5","0.0","19184430","4.5"
"Marlon Mack","IND","LA","RB","4000","0.4","-10.5","0.0","19184352","2.1"
"Alexander Mattison","MIN","ARI","RB","5000","2.4","-10.5","0.0","19184140","5.0"
"J.J. Taylor","NE","NYJ","RB","4000","0.5","-10.5","0.0","19184402","3.7"
"Mekhi Sargent","TEN","SEA","RB","4000","0.4","-10.5","0.0","19184242","2.2"
"Gabe Nabers","LAC","DAL","RB","4000","0.3","-10.6","0.0","19184214","4.3"
"Brandon Bolden","NE","NYJ","RB","4000","0.3","-10.6","0.0","19184404","3.5"
"Benny Snell Jr.","PIT","LV","RB","4300","0.8","-10.7","0.0","19184186","4.3"
"Chris Evans","CIN","CHI","RB","4000","0.1","-10.8","0.0","19184412","3.3"
"Andy Janovich","CLE","HOU","RB","4000","0.1","-10.8","0.0","19184436","4.1"
"Peyton Barber","LV","PIT","RB","4000","0.1","-10.8","0.0","19184326","1.5"
"Jake Funk","LA","IND","RB","4000","0.2","-10.8","0.0","19184340","2.8"
"Dwayne Washington","NO","CAR","RB","4000","0.2","-10.8","0.0","19184304","2.2"
"Trey Lance","SF","PHI","QB","4800","3.9","-11.1","0.0","19184024","7.9"
"Boston Scott","PHI","SF","RB","4300","0.3","-11.2","0.0","19184188","3.4"
"Taysom Hill","NO","CAR","QB","4700","3.0","-11.6","0.0","19184025","7.0"
"Jacoby Brissett","MIA","BUF","QB","4000","0.7","-11.9","0.0","19184085","4.7"
"Justin Fields","CHI","CIN","QB","5000","1.2","-14.3","0.0","19184020","5.2"
